85 61 82 43 04 94 29 69 16 05 
56 87 64 41 45 73 74 71 11 50 
76 81 34 91 52 33 76 26 32 20 
80 52 72 69 42 05 10 90 89 66 
21 80 36 59 50 72 58 52 39 28 
75 22 88 72 10 63 22 78 81 16 
71 49 30 52 65 98 89 35 46 66 
08 61 83 97 91 43 29 80 18 51 
60 52 86 60 87 41 35 33 30 21 
25 58 27 94 85 43 88 76 95 12 
17 15 35 74 06 54 35 41 16 27 
25 97 39 44 00 32 72 59 75 58 
31 04 64 42 10 82 18 19 65 23 
31 04 27 06 19 22 27 72 70 44 
24 89 29 00 98 30 31 62 71 85 
16 37 95 58 75 54 14 65 63 57 
57 17 24 99 46 33 88 99 95 02 
11 62 88 10 58 66 59 52 80 20 
69 51 15 73 73 63 22 03 65 16 
01 25 01 37 88 37 37 95 00 58 
