90 99 62 07 86 66 14 94 95 28 
83 62 41 16 53 98 81 87 14 14 
82 90 47 26 92 24 41 48 60 20 
32 52 95 19 03 20 50 21 52 24 
32 81 70 81 49 72 16 36 18 14 
70 26 77 48 67 96 92 50 62 56 
85 68 41 34 17 64 77 06 25 70 
62 19 80 89 82 86 31 23 18 62 
96 47 19 03 53 06 22 75 41 38 
58 58 63 11 29 45 07 74 72 65 
00 33 92 01 94 83 27 34 71 77 
09 55 99 14 44 35 00 37 31 85 
03 65 40 36 01 53 91 49 85 37 
07 75 37 45 70 35 02 94 43 30 
74 22 11 63 07 14 52 85 28 89 
16 48 54 48 50 37 69 53 44 61 
60 20 19 58 57 24 08 60 30 96 
17 91 47 80 51 93 07 59 17 75 
43 33 46 97 58 10 75 75 14 65 
28 74 75 10 99 92 06 22 64 30 
