82 62 92 84 92 64 66 20 70 31 
96 55 70 67 26 00 29 22 90 62 
51 89 58 44 88 10 12 43 34 98 
56 63 93 76 81 15 43 31 23 20 
23 91 95 42 80 33 79 27 41 37 
27 85 80 04 36 75 54 42 30 50 
44 73 52 77 75 89 09 00 85 38 
82 85 03 36 83 53 34 51 06 76 
91 43 72 05 02 94 05 16 66 90 
74 79 39 63 43 69 41 36 74 58 
28 06 12 16 84 95 33 41 31 83 
06 76 67 73 74 81 46 39 49 59 
26 25 90 92 78 40 54 07 99 80 
04 37 50 63 84 42 73 32 98 55 
66 26 69 79 07 69 08 02 46 03 
53 62 47 52 78 76 66 12 98 21 
12 43 61 49 14 87 32 70 18 78 
34 87 50 66 74 83 64 54 61 59 
74 63 66 76 15 19 67 21 08 65 
12 56 53 04 23 28 97 40 82 49 
