83 90 94 46 33 86 26 54 90 30 
97 10 91 54 87 13 24 74 56 08 
69 51 91 99 71 49 36 08 69 82 
18 87 67 92 46 55 64 35 03 28 
89 15 75 70 85 91 78 84 67 11 
52 83 66 85 33 06 69 16 81 53 
39 99 73 36 17 02 52 72 86 14 
49 34 59 80 11 91 48 64 85 82 
47 33 69 99 60 65 57 18 22 88 
77 29 48 78 66 21 99 92 71 79 
06 99 34 95 17 80 64 90 65 72 
88 03 93 40 15 22 48 23 26 37 
17 38 68 96 20 66 55 08 91 66 
20 59 25 07 69 50 04 99 62 78 
36 06 78 80 73 24 11 90 44 02 
31 01 26 23 79 81 12 81 80 22 
17 34 30 35 79 09 30 66 44 25 
25 39 74 93 65 34 79 82 47 22 
79 22 05 14 79 10 12 05 49 19 
55 29 07 92 87 25 47 00 42 26 
