72 81 14 95 52 85 69 26 41 08
78 63 28 70 97 85 34 95 65 83
12 87 82 68 58 31 27 83 02 63
89 55 61 09 89 85 69 57 71 04
77 83 75 71 74 09 20 56 27 54
07 67 00 66 34 58 00 67 95 66
90 78 35 89 08 17 15 41 86 73
94 00 50 13 23 28 39 16 32 29
69 80 39 86 99 79 36 67 38 17
30 24 67 59 90 03 99 62 22 85
62 38 61 74 54 61 84 24 78 26
36 86 17 34 44 48 34 35 93 10
61 19 52 62 70 12 85 02 26 02
21 10 63 67 07 26 25 13 04 11
52 65 39 19 34 79 24 56 44 01
88 05 11 63 51 86 73 46 64 05
03 47 25 91 53 09 88 64 20 48
43 22 22 44 81 58 02 54 97 07
60 44 71 29 03 86 21 39 15 22
40 54 44 59 46 36 73 74 20 89
