78 79 78 13 93 88 98 72 66 72
63 78 89 16 04 55 21 80 47 95
17 67 53 50 36 53 76 11 59 54
05 80 07 79 14 69 10 86 98 23
30 35 42 68 00 50 28 64 78 78
32 14 30 31 29 39 19 06 17 79
05 97 64 09 28 16 57 84 74 55
75 31 84 56 35 09 30 81 88 35
27 39 25 29 12 37 53 36 59 37
68 76 11 80 70 19 09 53 04 49
46 45 00 48 80 88 95 32 22 80
18 88 18 39 36 46 85 47 51 00
69 31 37 68 61 60 72 75 59 38
25 80 56 91 63 05 96 60 53 34
95 57 05 28 44 84 02 52 15 23
11 91 79 27 24 17 66 25 75 73
44 55 94 86 39 29 69 83 83 37
93 43 52 42 47 58 55 28 79 54
24 36 20 83 76 52 05 16 39 01
03 56 12 62 66 07 75 89 47 65
